tileset_path,tile_id,tile_name,col,row,x_px,y_px,w_px,h_px,suggested_game_key,walkable,blocks_los,notes
tilesheets/player_ship_tileset_32px.png,42,conveyor_e,2,5,64,160,32,32,player_ship_conveyor_e,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,43,conveyor_w,3,5,96,160,32,32,player_ship_conveyor_w,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,44,fuel_canister_floor,4,5,128,160,32,32,player_ship_fuel_canister_floor,no,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,45,cargo_crate_marker,5,5,160,160,32,32,player_ship_cargo_crate_marker,no,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,46,mine_hidden,6,5,192,160,32,32,player_ship_mine_hidden,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,47,mine_revealed,7,5,224,160,32,32,player_ship_mine_revealed,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,48,pipe_tangle,0,6,0,192,32,32,player_ship_pipe_tangle,no,yes,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,49,steam_vent_inactive,1,6,32,192,32,32,player_ship_steam_vent_inactive,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,50,steam_vent_active,2,6,64,192,32,32,player_ship_steam_vent_active,yes,yes,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,51,energy_vent_dormant,3,6,96,192,32,32,player_ship_energy_vent_dormant,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,52,energy_vent_charging,4,6,128,192,32,32,player_ship_energy_vent_charging,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,53,energy_vent_active,5,6,160,192,32,32,player_ship_energy_vent_active,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,54,stairs_down,6,6,192,192,32,32,player_ship_stairs_down,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,55,warp_gate_pad,7,6,224,192,32,32,player_ship_warp_gate_pad,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,56,shop_floor,0,7,0,224,32,32,player_ship_shop_floor,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,57,glyph_floor,1,7,32,224,32,32,player_ship_glyph_floor,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,58,ornamental_border_ns,2,7,64,224,32,32,player_ship_ornamental_border_ns,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,59,ornamental_border_ew,3,7,96,224,32,32,player_ship_ornamental_border_ew,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,60,hazard_stripe_ns,4,7,128,224,32,32,player_ship_hazard_stripe_ns,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,61,hazard_stripe_ew,5,7,160,224,32,32,player_ship_hazard_stripe_ew,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,62,floor_dark,6,7,192,224,32,32,player_ship_floor_dark,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,63,void_space,7,7,224,224,32,32,player_ship_void_space,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,0,floor_plain,0,0,0,0,32,32,space_station_expansion_floor_plain,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,1,floor_panel_a,1,0,32,0,32,32,space_station_expansion_floor_panel_a,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,2,floor_panel_b,2,0,64,0,32,32,space_station_expansion_floor_panel_b,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,3,floor_grate,3,0,96,0,32,32,space_station_expansion_floor_grate,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,4,corridor_ns,4,0,128,0,32,32,space_station_expansion_corridor_ns,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,5,corridor_ew,5,0,160,0,32,32,space_station_expansion_corridor_ew,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,6,corridor_cross,6,0,192,0,32,32,space_station_expansion_corridor_cross,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,7,corridor_corner_ne,7,0,224,0,32,32,space_station_expansion_corridor_corner_ne,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,8,wall_plain,0,1,0,32,32,32,space_station_expansion_wall_plain,no,yes,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,9,wall_reinforced,1,1,32,32,32,32,space_station_expansion_wall_reinforced,no,yes,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,10,wall_corner,2,1,64,32,32,32,space_station_expansion_wall_corner,no,yes,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,11,door_closed,3,1,96,32,32,32,space_station_expansion_door_closed,yes,yes,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,12,door_open,4,1,128,32,32,32,space_station_expansion_door_open,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,13,airlock,5,1,160,32,32,32,space_station_expansion_airlock,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,14,window,6,1,192,32,32,32,space_station_expansion_window,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,15,glass_floor,7,1,224,32,32,32,space_station_expansion_glass_floor,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,16,bridge_console_floor,0,2,0,64,32,32,space_station_expansion_bridge_console_floor,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,17,engineering_floor,1,2,32,64,32,32,space_station_expansion_engineering_floor,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,18,reactor_floor,2,2,64,64,32,32,space_station_expansion_reactor_floor,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,19,medbay_floor,3,2,96,64,32,32,space_station_expansion_medbay_floor,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,20,lab_floor,4,2,128,64,32,32,space_station_expansion_lab_floor,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,21,cargo_floor,5,2,160,64,32,32,space_station_expansion_cargo_floor,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,22,crew_quarters_floor,6,2,192,64,32,32,space_station_expansion_crew_quarters_floor,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,23,vent_grate,7,2,224,64,32,32,space_station_expansion_vent_grate,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,24,pipe_floor,0,3,0,96,32,32,space_station_expansion_pipe_floor,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,25,wiring_panel,1,3,32,96,32,32,space_station_expansion_wiring_panel,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,26,coolant_pool,2,3,64,96,32,32,space_station_expansion_coolant_pool,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,27,frozen_coolant,3,3,96,96,32,32,space_station_expansion_frozen_coolant,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,28,plasma_pool,4,3,128,96,32,32,space_station_expansion_plasma_pool,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,29,lubricant,5,3,160,96,32,32,space_station_expansion_lubricant,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,30,blast_mark,6,3,192,96,32,32,space_station_expansion_blast_mark,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,31,damaged_plating,7,3,224,96,32,32,space_station_expansion_damaged_plating,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,32,debris,0,4,0,128,32,32,space_station_expansion_debris,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,33,breached_floor,1,4,32,128,32,32,space_station_expansion_breached_floor,no,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,34,weakened_plating,2,4,64,128,32,32,space_station_expansion_weakened_plating,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,35,shield_zone,3,4,96,128,32,32,space_station_expansion_shield_zone,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,36,energy_node,4,4,128,128,32,32,space_station_expansion_energy_node,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,37,charging_pad,5,4,160,128,32,32,space_station_expansion_charging_pad,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,38,gravity_trap,6,4,192,128,32,32,space_station_expansion_gravity_trap,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,39,holo_trap,7,4,224,128,32,32,space_station_expansion_holo_trap,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,40,conveyor_n,0,5,0,160,32,32,space_station_expansion_conveyor_n,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,41,conveyor_s,1,5,32,160,32,32,space_station_expansion_conveyor_s,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,42,conveyor_e,2,5,64,160,32,32,space_station_expansion_conveyor_e,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,43,conveyor_w,3,5,96,160,32,32,space_station_expansion_conveyor_w,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,44,fuel_canister_floor,4,5,128,160,32,32,space_station_expansion_fuel_canister_floor,no,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,45,cargo_crate_marker,5,5,160,160,32,32,space_station_expansion_cargo_crate_marker,no,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,46,mine_hidden,6,5,192,160,32,32,space_station_expansion_mine_hidden,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,47,mine_revealed,7,5,224,160,32,32,space_station_expansion_mine_revealed,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,48,pipe_tangle,0,6,0,192,32,32,space_station_expansion_pipe_tangle,no,yes,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,49,steam_vent_inactive,1,6,32,192,32,32,space_station_expansion_steam_vent_inactive,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,50,steam_vent_active,2,6,64,192,32,32,space_station_expansion_steam_vent_active,yes,yes,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,51,energy_vent_dormant,3,6,96,192,32,32,space_station_expansion_energy_vent_dormant,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,52,energy_vent_charging,4,6,128,192,32,32,space_station_expansion_energy_vent_charging,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,53,energy_vent_active,5,6,160,192,32,32,space_station_expansion_energy_vent_active,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,54,stairs_down,6,6,192,192,32,32,space_station_expansion_stairs_down,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,55,warp_gate_pad,7,6,224,192,32,32,space_station_expansion_warp_gate_pad,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,56,shop_floor,0,7,0,224,32,32,space_station_expansion_shop_floor,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,57,glyph_floor,1,7,32,224,32,32,space_station_expansion_glyph_floor,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,58,ornamental_border_ns,2,7,64,224,32,32,space_station_expansion_ornamental_border_ns,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,59,ornamental_border_ew,3,7,96,224,32,32,space_station_expansion_ornamental_border_ew,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,60,hazard_stripe_ns,4,7,128,224,32,32,space_station_expansion_hazard_stripe_ns,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,61,hazard_stripe_ew,5,7,160,224,32,32,space_station_expansion_hazard_stripe_ew,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,62,floor_dark,6,7,192,224,32,32,space_station_expansion_floor_dark,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/space_station_expansion_tileset_32px.png,63,void_space,7,7,224,224,32,32,space_station_expansion_void_space,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,0,floor_plain,0,0,0,0,32,32,asteroid_base_floor_plain,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,1,floor_panel_a,1,0,32,0,32,32,asteroid_base_floor_panel_a,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,2,floor_panel_b,2,0,64,0,32,32,asteroid_base_floor_panel_b,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,3,floor_grate,3,0,96,0,32,32,asteroid_base_floor_grate,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,4,corridor_ns,4,0,128,0,32,32,asteroid_base_corridor_ns,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,5,corridor_ew,5,0,160,0,32,32,asteroid_base_corridor_ew,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,6,corridor_cross,6,0,192,0,32,32,asteroid_base_corridor_cross,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,7,corridor_corner_ne,7,0,224,0,32,32,asteroid_base_corridor_corner_ne,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,8,wall_plain,0,1,0,32,32,32,asteroid_base_wall_plain,no,yes,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,9,wall_reinforced,1,1,32,32,32,32,asteroid_base_wall_reinforced,no,yes,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,10,wall_corner,2,1,64,32,32,32,asteroid_base_wall_corner,no,yes,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,11,door_closed,3,1,96,32,32,32,asteroid_base_door_closed,yes,yes,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,12,door_open,4,1,128,32,32,32,asteroid_base_door_open,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,13,airlock,5,1,160,32,32,32,asteroid_base_airlock,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,14,window,6,1,192,32,32,32,asteroid_base_window,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,15,glass_floor,7,1,224,32,32,32,asteroid_base_glass_floor,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,16,bridge_console_floor,0,2,0,64,32,32,asteroid_base_bridge_console_floor,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,17,engineering_floor,1,2,32,64,32,32,asteroid_base_engineering_floor,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,18,reactor_floor,2,2,64,64,32,32,asteroid_base_reactor_floor,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,19,medbay_floor,3,2,96,64,32,32,asteroid_base_medbay_floor,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,20,lab_floor,4,2,128,64,32,32,asteroid_base_lab_floor,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,21,cargo_floor,5,2,160,64,32,32,asteroid_base_cargo_floor,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,22,crew_quarters_floor,6,2,192,64,32,32,asteroid_base_crew_quarters_floor,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,23,vent_grate,7,2,224,64,32,32,asteroid_base_vent_grate,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,24,pipe_floor,0,3,0,96,32,32,asteroid_base_pipe_floor,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,25,wiring_panel,1,3,32,96,32,32,asteroid_base_wiring_panel,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,26,coolant_pool,2,3,64,96,32,32,asteroid_base_coolant_pool,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,27,frozen_coolant,3,3,96,96,32,32,asteroid_base_frozen_coolant,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,28,plasma_pool,4,3,128,96,32,32,asteroid_base_plasma_pool,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,29,lubricant,5,3,160,96,32,32,asteroid_base_lubricant,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,30,blast_mark,6,3,192,96,32,32,asteroid_base_blast_mark,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,31,damaged_plating,7,3,224,96,32,32,asteroid_base_damaged_plating,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,32,debris,0,4,0,128,32,32,asteroid_base_debris,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,33,breached_floor,1,4,32,128,32,32,asteroid_base_breached_floor,no,no,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,34,weakened_plating,2,4,64,128,32,32,asteroid_base_weakened_plating,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,35,shield_zone,3,4,96,128,32,32,asteroid_base_shield_zone,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,36,energy_node,4,4,128,128,32,32,asteroid_base_energy_node,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,37,charging_pad,5,4,160,128,32,32,asteroid_base_charging_pad,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,38,gravity_trap,6,4,192,128,32,32,asteroid_base_gravity_trap,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,39,holo_trap,7,4,224,128,32,32,asteroid_base_holo_trap,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,40,conveyor_n,0,5,0,160,32,32,asteroid_base_conveyor_n,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,41,conveyor_s,1,5,32,160,32,32,asteroid_base_conveyor_s,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,42,conveyor_e,2,5,64,160,32,32,asteroid_base_conveyor_e,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,43,conveyor_w,3,5,96,160,32,32,asteroid_base_conveyor_w,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,44,fuel_canister_floor,4,5,128,160,32,32,asteroid_base_fuel_canister_floor,no,no,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,45,cargo_crate_marker,5,5,160,160,32,32,asteroid_base_cargo_crate_marker,no,no,Shared 32px tile ID used by sample maps.
tilesheets/asteroid_base_tileset_32px.png,46,mine_hidden,6,5,192,160,32,32,asteroid_base_mine_hidden,yes,no,Shared 32px tile ID used by sample maps.
